setid,"Mole fraction of N,N-diethylethanolammonium hydrogen diacetate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FHbSL,0.8567,373.15,101,1003,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,278.15,101,1068.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,283.15,101,1064.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,288.15,101,1060.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,293.15,101,1056.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,298.15,101,1052.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,303.15,101,1048.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,308.15,101,1044.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,313.15,101,1040.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,318.15,101,1036.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,323.15,101,1032.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,328.15,101,1028.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,333.15,101,1024.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,338.15,101,1020.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,343.15,101,1016.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,348.15,101,1012.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,353.15,101,1007.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,358.15,101,1003.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,363.15,101,999.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,368.15,101,995.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,1,373.15,101,990.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
