setid,"Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium salicylate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GZMxm,308.15,0.4489,0.1032,87,1.3421,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0,0,87,1.3305,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0,0.1032,87,1.335,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0,0.2005,87,1.3395,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0,0.296,87,1.344,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1011,0,87,1.3318,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1422,0,87,1.3323,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1499,0.1032,87,1.3368,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1525,0.2005,87,1.3414,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1548,0.296,87,1.3463,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1913,0.2005,87,1.342,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1941,0.1032,87,1.3374,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.1964,0,87,1.3329,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2031,0.296,87,1.3468,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2434,0.2005,87,1.3427,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2486,0,87,1.3335,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2512,0.1032,87,1.3382,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2543,0.296,87,1.3475,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2908,0.2005,87,1.3431,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2933,0.1032,87,1.3387,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.2988,0.296,87,1.3479,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.3032,0,87,1.3342,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.3515,0.2005,87,1.3439,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.3525,0.1032,87,1.3396,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.3532,0,87,1.3348,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.3936,0.2005,87,1.3445,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.3953,0.1032,87,1.34,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.4003,0,87,1.3354,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.4008,0.296,87,1.349,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.4444,0.2005,87,1.3453,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.4458,0.296,87,1.3497,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
GZMxm,318.15,0.4489,0.1032,87,1.3407,Shekaari et al. (2016d),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,ABBHCu,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-butyl-3-methylimidazolium salicylate,
